titles,location,experience,domaine,contrat,salaire,etude,Unnamed: 0,more_info
Infographiste/web designer/Graphiste,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Informatique / Multimédia / Internet,A discuter,A discuter,Pas important,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Immobilier,CDI,A discuter,Bac plus 3,,
Assistante médicale,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Accueil / Secrétariat / Administration,A discuter,A discuter,Pas important,,
ANIMATRICE ,Agadir ,Pas neccessaire,Commercial / Vente,Anapec,A discuter,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Commercial / Vente,Stage,2 000 - 3 000 DH,Bac plus 2,,
piano,Rabat ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,A discuter,3 000 - 4 000 DH,Pas important,,
Animatrice Supermarché à Essaouira ,Essaouira ,Pas neccessaire,Commercial / Vente,A discuter,2 000 - 3 000 DH,Bac plus 2,,
Barman,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Tourisme / Hôtellerie / Restauration,CDI,A discuter,Pas important,,
ULTRAPC est à la recherche d'une assistante,Marrakech ,Pas neccessaire,Commercial / Vente,CDI,3 000 - 4 000 DH,Bac plus 2,,
Développeur Web,Marrakech ,Pas neccessaire,Informatique / Multimédia / Internet,A discuter,4 000 - 6 000 DH,Pas important,,
Marketing digital/Web-markteur,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Marketing / Communication / Publicité / Rp,A discuter,A discuter,Bac plus 2,,
Intérateur CRM ,Casablanca ,Pas neccessaire,Informatique / Multimédia / Internet,A discuter,A discuter,Bac plus 3,,
vendeur/vendeuse,Marrakech ,Pas neccessaire,Commerce / Artisanat,CDD,2 000 - 3 000 DH,Niveau Bac,,
Agent de communication,Rabat ,Deja Expérience/expérimentées/Premiere experiences ,Informatique / Multimédia / Internet,A discuter,A discuter,Bac plus 5,,
Agent de communication,Rabat ,Deja Expérience/expérimentées/Premiere experiences ,Marketing / Communication / Publicité / Rp,A discuter,A discuter,Bac plus 5,,
Audite,Rabat ,Deja Expérience/expérimentées/Premiere experiences ,Marketing / Communication / Publicité / Rp,A discuter,A discuter,Bac plus 5,,
Ingénieur d'État en Développement Web,Rabat ,Deja Expérience/expérimentées/Premiere experiences ,Informatique / Multimédia / Internet,A discuter,A discuter,Bac plus 5,,
Magasinier,Casablanca ,2 ans,Maintenance / Entretien,A discuter,A discuter,Bac plus 2,,
Maitre(sse)/educatrice/Enseignante,Casablanca ,Pas neccessaire,Education / Social / Petite Enfance,CDD,A discuter,Pas important,,
ENVIRONNEMENTALISTE,Beni Mellal ,Pas neccessaire,Agriculture / Environnement / Espaces Verts,Stage,A discuter,Bac plus 5,,
Compatble/ assistant(e) comptable,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Comptabilité / Gestion / Audit,CDI,A discuter,Bac plus 3,,
livreur,Kénitra ,Deja Expérience/expérimentées/Premiere experiences ,Transport / Achat / Logistique,CDI,A discuter,Pas important,,
Magasinier,Casablanca ,5 ans,Maintenance / Entretien,A discuter,A discuter,Bac plus 2,,
Agent de communication,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Marketing / Communication / Publicité / Rp,CDI,A discuter,Bac plus 5,,
Senior Executive Assistant Anglophone,Temara ,Pas neccessaire,Industrie / Ingénierie / Energie,CDI,A discuter,Bac plus 5,,
Formateur/Formatrice,Tanger ,Pas neccessaire,Education / Social / Petite Enfance,CDI,A discuter,Bac plus 3,,
serveur/serveuse,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Tourisme / Hôtellerie / Restauration,A discuter,A discuter,Pas important,,
Assistant(e) polyvalente ,Kénitra ,Deja Expérience/expérimentées/Premiere experiences ,Entreprise / Import / Export,A discuter,A discuter,Bac plus 3,,
Infographiste/web designer/Graphiste,Tanger ,Deja Expérience/expérimentées/Premiere experiences ,Informatique / Multimédia / Internet,A discuter,A discuter,Bac plus 2,,
Agent de sécurité,Kénitra ,Pas neccessaire,Entreprise / Import / Export,A discuter,A discuter,Pas important,,
Contrôleur,Kénitra ,Deja Expérience/expérimentées/Premiere experiences ,Entreprise / Import / Export,A discuter,A discuter,Bac plus 2,,
Chargé(e) approvisionnement.,Casablanca ,3 ans,Maintenance / Entretien,A discuter,A discuter,Bac plus 3,,
Compatble/ assistant(e) comptable,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Comptabilité / Gestion / Audit,A discuter,A discuter,Bac plus 3,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,Pas neccessaire,Commercial / Vente,A discuter,A discuter,Pas important,,
Responsable financier,Rabat ,2 ans,Banque / Finance / Assurance,CDI,A discuter,Bac plus 4,,
Technicien de climatisation,Tanger ,Deja Expérience/expérimentées/Premiere experiences ,Construction / Btp,A discuter,A discuter,Pas important,,
Technicien en Maintenance,Khenifra ,Pas neccessaire,Maintenance / Entretien,A discuter,A discuter,Bac plus 2,,
Community manager,Agadir ,Pas neccessaire,Marketing / Communication / Publicité / Rp,Stage,Commission,Bac plus 5,,
Technicien diagnostique électricité automobile,Tanger ,Deja Expérience/expérimentées/Premiere experiences ,Informatique / Multimédia / Internet,A discuter,A discuter,Bac plus 2,,
Chargé ADV,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Commercial / Vente,CDI,3 000 - 4 000 DH,Bac plus 2,,
Marketing digital/Web-markteur,Tanger ,Deja Expérience/expérimentées/Premiere experiences ,Marketing / Communication / Publicité / Rp,CDI,A discuter,Bac plus 5,,
Assistant(e) juridice/Juriste,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Droit / Justice / Association,A discuter,A discuter,Bac plus 2,,
Professeur,Casablanca ,Pas neccessaire,Education / Social / Petite Enfance,A discuter,A discuter,Bac plus 3,,
Assistant(e) administrative,Tanger ,Pas neccessaire,Accueil / Secrétariat / Administration,CDI,A discuter,Bac plus 2,,
RH/ assistant(e) RH,Rabat ,Pas neccessaire,Ressources Humaines / Recrutement / Intérim,CDI,A discuter,Bac plus 5,,
RH/ assistant(e) RH,Rabat ,3 ans,Ressources Humaines / Recrutement / Intérim,CDI,A discuter,Bac plus 5,,
Marketing digital/Web-markteur,Casablanca ,Pas neccessaire,Informatique / Multimédia / Internet,CDI,4 000 - 6 000 DH,Bac plus 3,,
OPERATEUR DE SAISI,Kénitra ,Pas neccessaire,Transport / Achat / Logistique,CDI,2 000 - 3 000 DH,Bac plus 2,,
Infirmière,Imouzzer Kandar ,3 ans,Autre,Interim,3 000 - 4 000 DH,Bac plus 3,,
chargés de recouvrement,Casablanca ,8 ans,Autre,Interim,A discuter,Bac plus 4,,
Logistique et transport,Tanger ,Pas neccessaire,Transport / Achat / Logistique,CDI,A discuter,Bac plus 2,,
Technicien en gestion/ Management,Rabat ,Pas neccessaire,Marketing / Communication / Publicité / Rp,A discuter,A discuter,Bac plus 2,,
Spa thérapeute,Casablanca ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,CDI,A discuter,Bac plus 2,,
Conseiller/Chargé clientèle,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Marketing / Communication / Publicité / Rp,A discuter,A discuter,Bac plus 3,,
Commercial(e)/ assistant(e) commerciale(e),Marrakech ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,A discuter,A discuter,Bac plus 3,,
Chef de rang/ commis de rang,Casablanca ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,A discuter,3 000 - 4 000 DH,Bac plus 2,,
HSE/QHSE,El jadida ,10 ans,Autre,A discuter,A discuter,Bac plus 5,,
Compatble/ assistant(e) comptable,Salé ,3 ans,Comptabilité / Gestion / Audit,A discuter,A discuter,Bac plus 2,,
fabrication mécanique/Mécanicien,Tout le Maroc / A distance ,3 ans,Construction / Btp,Interim,A discuter,Pas important,,
Chargé de paie et administration du personnel pour,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Industrie / Ingénierie / Energie,CDD,3 000 - 4 000 DH,Bac plus 2,,
cuisinier,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Tourisme / Hôtellerie / Restauration,Interim,A discuter,Bac plus 2,,
cuisinier,Marrakech ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,CDI,A discuter,Niveau Bac,,
agent de tourisme,Marrakech ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,A discuter,A discuter,Bac plus 2,,
Maitre(sse)/educatrice/Enseignante,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Education / Social / Petite Enfance,A discuter,A discuter,Bac plus 3,,
Acheteur/Responsable achat/Assistant(e) achat,Meknès ,Pas neccessaire,Transport / Achat / Logistique,A discuter,A discuter,Bac plus 4,,
Technicienne software ,Fès ,Deja Expérience/expérimentées/Premiere experiences ,Informatique / Multimédia / Internet,A discuter,A discuter,Bac plus 2,,
Assistant(e) administrative,Temara ,2 ans,Comptabilité / Gestion / Audit,A discuter,A discuter,Bac plus 2,,
cuisinier,Casablanca ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,CDI,2 000 - 3 000 DH,Pas important,,
Responsable/Administrateur des ventes,Marrakech ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,A discuter,A discuter,Bac plus 3,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,Pas neccessaire,Education / Social / Petite Enfance,Anapec,A discuter,Bac plus 2,,
Réceptionniste,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Tourisme / Hôtellerie / Restauration,A discuter,3 000 - 4 000 DH,Bac plus 2,,
